#haloid R500 Mgas500 Mtot500 R2500 Mgas2500 Mtot2500 T500 K500
C 672.5 9230246901740.0 80510540606780.0 317.5 4237832629460.0 41866127562520.0 1.59007 282.471
1 375.15 1.347878204e+12 1.40507866339e+13 175.35 621689351604.0 7.17593976662e+12 0.49657 88.2155
2 359.05 1.39046948338e+12 1.23183815339e+13 167.85 656942461799.0 6.29454540481e+12 0.45490 80.8129
3 332.35 1.02382645878e+12 9.77203371382e+12 162.45 502434288750.0 5.70269989498e+12 0.38979 69.2462
4 325.35 1.03019154736e+12 9.1683479608e+12 155.25 462468957439.0 4.97963268625e+12 0.37356 66.3626
5 304.45 773818189962.0 7.50873114011e+12 144.95 332887891475.0 4.05412882672e+12 0.32702 58.0936
6 286.95 549130263765.0 6.28741177847e+12 134.35 271243601316.0 3.22778893745e+12 0 0
7 282.95 549783837829.0 6.02884342254e+12 142.45 273829959729.0 3.84217663497e+12 0 0
8 274.15 456490525901.0 5.48162189152e+12 137.95 239239982569.0 3.49039623374e+12 0 0
9 263.75 513265951182.0 4.88140088177e+12 128.05 238630578465.0 2.79475264104e+12 0 0
10 251.45 407547124984.0 4.23015010169e+12 121.65 214268019561.0 2.39421560321e+12 0 0
11 235.25 342099054164.0 3.46515035306e+12 115.25 168624909759.0 2.0350347938e+12 0 0
12 210.15 231198008958.0 2.46973961257e+12 92.55 83152454628.8 1.05487231334e+12 0 0
13 230.05 297863721167.0 3.23931614485e+12 112.95 160022205036.0 1.91653178574e+12 0 0
14 222.85 272064794001.0 2.9443404927e+12 113.15 158904663442.0 1.92497046895e+12 0 0
15 206.15 212341963112.0 2.3316088228e+12 103.55 114090071578.0 1.47778394738e+12 0 0
16 204.45 206568576301.0 2.27495775558e+12 101.95 103708300123.0 1.40972187364e+12 0 0
17 218.75 238447144695.0 2.78521999183e+12 104.65 89293875321.6 1.52574453972e+12 0 0
18 208.35 251273866674.0 2.40609870619e+12 101.35 127089541291.0 1.38441438155e+12 0 0
19 194.25 178167995675.0 1.95108840949e+12 93.55 81962037553.6 1.08791756639e+12 0 0
20 191.15 164684933014.0 1.85882159394e+12 97.15 98379828575.2 1.21989181309e+12 0 0
21 184.95 161265911038.0 1.68292875516e+12 82.35 59257970544.3 742222486825.0 0 0
22 192.55 137706477122.0 1.89971218753e+12 95.25 73528809286.9 1.14815465861e+12 0 0
23 186.85 173158645126.0 1.73599129784e+12 89.05 77015343900.6 939832850787.0 0 0
24 179.35 122581721649.0 1.5350514782e+12 85.35 54669372105.0 826320162744.0 0 0
25 168.95 109454496599.0 1.28370029514e+12 79.25 44652944289.1 661725965088.0 0 0
26 164.15 108180821395.0 1.17635792327e+12 77.95 53346692663.9 630097165535.0 0 0
27 158.95 106167613033.0 1.06784597714e+12 75.95 46364849492.8 583110015877.0 0 0
28 176.35 144514588738.0 1.45878439875e+12 86.65 74201780719.4 865544888426.0 0 0
29 173.65 152380565842.0 1.39358454526e+12 77.45 61719077370.0 617230450002.0 0 0
30 161.65 122016450548.0 1.1246543627e+12 71.15 45954940544.9 478949557431.0 0 0
31 144.25 74568724886.7 798288562300.0 58.05 10779015616.1 260242474529.0 0 0
