#id R500 Mgas M500 Mgasring fgas Tspec Mhot YX YSZ_sph YSZ_cyl01 YSZ_cyl1 YSZ_cyl10
C 672.5 9.230246901740e+12 8.0510540606780e+13 6.95614763526e+13 0.674391 0.937799580752 8.41132094939e+12 7.88813325991e+12 1.70191803226e-06 4.26439394505e-07 1.71618755608e-06 2.03809351932e-06
1 375.15 1.347878204e+12 1.40507866339e+13 1.22027139447e+12 0.56428835796 0.253026522959 1.21601294017e+12 3.07683526124e+11 8.32356708997e-08 3.64818639829e-08 9.52976310789e-08 9.89406451574e-08
2 359.05 1.39046948338e+12 1.23183815339e+13 1.21746727648e+12 0.663985949181 0.40307302482 1.21315288887e+12 4.88989204486e+11 7.94428000621e-08 3.48477446343e-08 8.81976746255e-08 9.21414852251e-08
3 332.35 1.02382645878e+12 9.77203371382e+12 934941347144.0 0.616300430129 0.36484751914 935846833959.0 3.41441395665e+11 5.08399465878e-08 2.34488525226e-08 5.6512102901e-08 5.82560918505e-08
4 325.35 1.03019154736e+12 9.1683479608e+12 909803863614.0 0.660964254899 0.340144800934 907302055445.0 3.08614077036e+11 5.3827573962e-08 2.53765165374e-08 6.01629532767e-08 6.15581642579e-08
5 304.45 773818189962.0 7.50873114011e+12 694431107851.0 0.606210506238 0.172861610432 687893562384.0 1.18910389e+11 3.18087843155e-08 1.48187108183e-08 3.62672953949e-08 3.71384970358e-08
6 286.95 549130263765.0 6.28741177847e+12 454413496152.0 0.513753216102 0.231946836462 450481591775.0 1.04487780097e+11 1.93315096569e-08 9.98899200336e-09 2.29522306539e-08 2.33029268657e-08
7 282.95 549783837829.0 6.02884342254e+12 490779153248.0 0.536425040229 0.311617302157 488217273724.0 1.52136949704e+11 2.15561534512e-08 1.15841031739e-08 2.40124662762e-08 2.43014676609e-08
8 274.15 456490525901.0 5.48162189152e+12 405621731557.0 0.489862022736 0.289025701968 404415906261.0 1.16886591194e+11 1.71827550559e-08 9.77118027673e-09 1.9007144354e-08 1.93061156004e-08
9 263.75 513265951182.0 4.88140088177e+12 456241081395.0 0.618513322439 0.21503441828 447721673258.0 96275569560.4 1.57372833379e-08 8.43494797444e-09 1.75007809924e-08 1.77374452237e-08
10 251.45 407547124984.0 4.23015010169e+12 349472659427.0 0.566725995931 0.202836563 337707842787.0 68499498129.1 1.16971682918e-08 6.94581229376e-09 1.27319890851e-08 1.29620664649e-08
11 235.25 342099054164.0 3.46515035306e+12 305719961675.0 0.58073883451 0.189370666112 289844052107.0 54887961216.1 1.00995039885e-08 5.95346270021e-09 1.15030179964e-08 1.15737231648e-08
12 210.15 231198008958.0 2.46973961257e+12 204091516004.0 0.550660596393 0.146034673808 130107231553.0 19000167119.9 3.80888959461e-09 2.23254944375e-09 4.51897944878e-09 4.69469813077e-09
