#id M500 YSZ Mgas Tspec YX fgas
A68 6.9e14 6.5e-5 7.9e13 8.1 6.4e14 0.114492753623
A209 6.3e14 1.07e-4 1.06e14 6.7 7.1e14 0.168253968254
A267 3.6e14 4.5e-5 4e13 5.5 2.2e14 0.111111111111
A520 8.3e14 1.06e-4 11.4e13 8 9.1e14 0.13734939759
A963 4.9e14 5.3e-5 6.7e13 5.6 3.7e14 0.136734693878
A1835 8.2e14 1.47e-4 1.16e14 8.3 9.7e14 0.141463414634
A1914 6.9e14 8.5e-5 1.08e14 8.3 8.9e14 0.15652173913
Zw2233 3.4e14 3.7e-5 4.9e13 4.6 2.3e14 0.144117647059
Zw4240 5.4e14 4.5e-5 7e13 6.3 4.4e14 0.12962962963
A2034 5.7e14 5.5e-5 7e13 6.3 4.4e14 0.122807017544
A2219 1.03e15 2.12e-4 1.76e14 9.5 1.68e15 0.170873786408
RXJ2638 6e14 6.5e-5 6.9e13 5.8 4e14 0.115
RXJ0005 4.3e14 3.9e-5 7.3e13 5.6 4.1e14 0.16976744186
A2390 9.7e14 1.57e-4 1.58e14 9 1.43e15 0.162886597938
A2631 9.8e14 9.9e-5 9.8e13 7.4 7.2e14 0.1
