rbins	density
5.0	0.082496872322
15.0	0.0285640094629
25.0	0.0126050891943
35.0	0.00705300000587
45.0	0.0043826853257
55.0	0.00297232718651
65.0	0.00214809042098
75.0	0.00155010045343
85.0	0.00122215744085
95.0	0.0010080314541
105.0	0.000828305961839
115.0	0.000682390786488
125.0	0.000575091283625
135.0	0.000499704082597
145.0	0.000447955920937
155.0	0.000411320909538
165.0	0.000378457712766
175.0	0.000338033208854
185.0	0.000293235695469
195.0	0.000258987898929
205.0	0.00023389805619
215.0	0.000214654181801
225.0	0.000197933177261
235.0	0.00018011695805
245.0	0.000158892161268
255.0	0.00014620002898
265.0	0.000137396273023
275.0	0.000117543540983
285.0	0.000106834559585
295.0	9.71773767749e-05
305.0	8.85985268871e-05
315.0	8.13904869053e-05
325.0	7.50998142673e-05
335.0	7.01885386124e-05
345.0	6.56876095376e-05
355.0	6.13263883748e-05
365.0	5.7230207731e-05
375.0	5.33922373472e-05
385.0	4.95790527112e-05
395.0	4.59088271311e-05
405.0	4.27405947058e-05
415.0	3.94742310695e-05
425.0	3.62528543006e-05
435.0	3.28145329235e-05
445.0	2.97987153011e-05
455.0	2.77752405986e-05
465.0	2.59876334834e-05
475.0	2.45406556083e-05
485.0	2.32331632251e-05
495.0	2.22457374285e-05
505.0	2.1488013465e-05
515.0	2.07497323727e-05
525.0	2.01076678242e-05
535.0	1.95334574825e-05
545.0	1.89526044132e-05
555.0	1.82800478363e-05
565.0	1.77839194084e-05
575.0	1.71772887404e-05
585.0	1.67699279492e-05
595.0	1.62816174576e-05
605.0	1.58788656345e-05
615.0	1.54333481063e-05
625.0	1.51881556322e-05
635.0	1.61448245327e-05
645.0	1.60929669332e-05
655.0	1.39879824338e-05
665.0	1.32942757352e-05
675.0	1.26433953497e-05
685.0	1.21961516555e-05
695.0	1.18463211229e-05
705.0	1.21606750406e-05
715.0	1.12674583044e-05
725.0	1.03033061117e-05
735.0	9.73050150043e-06
745.0	9.00275638443e-06
755.0	8.46925734323e-06
765.0	7.84273472258e-06
775.0	7.28369572362e-06
785.0	6.78783717973e-06
795.0	6.42311096514e-06
805.0	6.40283468203e-06
815.0	5.76354197482e-06
825.0	5.20157760993e-06
835.0	4.69053681568e-06
845.0	4.40301321059e-06
855.0	4.13382334335e-06
865.0	3.94631066151e-06
875.0	3.96360695317e-06
885.0	4.03108220551e-06
895.0	3.84621482995e-06
905.0	3.46239627043e-06
915.0	3.16271444767e-06
925.0	3.0046199644e-06
935.0	2.86249902116e-06
945.0	2.73629412854e-06
955.0	2.61450262063e-06
965.0	2.50648110689e-06
975.0	2.40753967932e-06
985.0	2.32562463863e-06
995.0	2.25133156246e-06
