rbins	density
7.5	0.0226885755487
22.5	0.0152104750707
37.5	0.011177352767
52.5	0.00863160152445
67.5	0.00667901988711
82.5	0.00521831780878
97.5	0.00426370184614
112.5	0.00351714196506
127.5	0.00293977129256
142.5	0.00246094787862
157.5	0.00207826558369
172.5	0.00170107899577
187.5	0.0014042438339
202.5	0.00111724139161
217.5	0.000911927163591
232.5	0.000768004579736
247.5	0.000664254568262
262.5	0.000584734758931
277.5	0.000520218256433
292.5	0.000469901537374
307.5	0.00042777154139
322.5	0.000392484377025
337.5	0.000362116440773
352.5	0.00033328622211
367.5	0.000308825673779
382.5	0.000287677846923
397.5	0.000265415918593
412.5	0.000246645767295
427.5	0.000229841122192
442.5	0.000214520377357
457.5	0.000200028169415
472.5	0.00018916527123
487.5	0.000171249334994
502.5	0.000158786494643
517.5	0.000147488381146
532.5	0.000137282547452
547.5	0.000127930436567
562.5	0.000119400115912
577.5	0.000113007266358
592.5	0.000105351228724
607.5	9.96501692235e-05
622.5	9.603080836e-05
637.5	9.12346440515e-05
652.5	8.39075794453e-05
667.5	7.95143395057e-05
682.5	7.36968707261e-05
697.5	7.16613487305e-05
712.5	6.60379533945e-05
727.5	6.36795331122e-05
742.5	6.0957934351e-05
757.5	6.09008796391e-05
772.5	5.49675912125e-05
787.5	5.10268552954e-05
802.5	4.81951744752e-05
817.5	4.59802768314e-05
832.5	4.38988097296e-05
847.5	4.20508854605e-05
862.5	4.01868191556e-05
877.5	3.86809114854e-05
892.5	3.73962599296e-05
907.5	3.61940209655e-05
922.5	3.53835078771e-05
937.5	3.39021529339e-05
952.5	3.29437922254e-05
967.5	3.23332143852e-05
982.5	3.10680605755e-05
997.5	2.99828486451e-05
1012.5	2.91366368415e-05
1027.5	2.81890255534e-05
1042.5	2.7274624592e-05
1057.5	2.72236612715e-05
1072.5	2.71008874715e-05
1087.5	2.52536025721e-05
1102.5	2.42481877121e-05
1117.5	2.36218910727e-05
1132.5	2.27308683466e-05
1147.5	2.1696633829e-05
1162.5	2.09011978305e-05
1177.5	2.02456609237e-05
1192.5	1.95848506994e-05
1207.5	1.90307646856e-05
1222.5	1.88052013847e-05
1237.5	1.83806393453e-05
1252.5	1.73107532947e-05
1267.5	1.64924806332e-05
1282.5	1.58434744987e-05
1297.5	1.52919579067e-05
1312.5	1.47643642216e-05
1327.5	1.42112131987e-05
1342.5	1.369348216e-05
1357.5	1.32125125419e-05
1372.5	1.27698592135e-05
1387.5	1.2357854153e-05
1402.5	1.19453716992e-05
1417.5	1.15992301689e-05
1432.5	1.14785904687e-05
1447.5	1.09894172361e-05
1462.5	1.04594197138e-05
1477.5	1.00638138758e-05
1492.5	9.64574452908e-06
