rbins	entr
5.0	4.12257729406
15.0	9.72825317802
25.0	14.3607338593
35.0	18.6851465979
45.0	22.4315113166
55.0	25.6369635105
65.0	26.892488396
75.0	28.7017623291
85.0	30.9772671239
95.0	34.030034738
105.0	37.110076037
115.0	40.8441136932
125.0	45.4110995959
135.0	50.281447243
145.0	55.6868449436
155.0	60.7753899588
165.0	66.0506954443
175.0	71.8974351272
185.0	76.2015964165
195.0	79.5622054336
205.0	83.3784653998
215.0	88.119114882
225.0	91.6539159308
235.0	97.0713100594
245.0	100.131119908
255.0	104.024721547
265.0	109.298114623
275.0	111.992483316
285.0	115.733496685
295.0	119.92145828
305.0	124.38526527
315.0	126.758207615
325.0	128.59549757
335.0	132.513301803
345.0	132.605602618
355.0	127.446337933
365.0	134.509674183
375.0	144.440502129
385.0	148.810766229
395.0	152.388935089
405.0	157.017967912
415.0	160.695316475
425.0	165.234008598
435.0	169.546946604
445.0	172.638794781
455.0	175.726346583
465.0	177.917046972
475.0	180.781137083
485.0	170.020375975
495.0	174.685223728
505.0	193.780702655
515.0	199.169173113
525.0	197.823628872
535.0	211.149937676
545.0	219.873403465
555.0	227.788415829
565.0	234.290951559
575.0	241.185199549
585.0	237.874071309
595.0	223.12589417
605.0	161.693287856
615.0	189.119282868
625.0	248.589254936
635.0	264.672829743
645.0	274.355831178
655.0	286.275948202
665.0	296.777054909
675.0	303.978437004
685.0	315.199546334
695.0	325.561543035
705.0	339.006627565
715.0	355.909655596
725.0	360.148192348
735.0	377.837492234
745.0	380.750499086
755.0	390.226266887
765.0	394.840402634
775.0	374.834558617
785.0	390.742606409
795.0	410.818718993
805.0	425.685603183
815.0	436.460649162
825.0	444.551376938
835.0	447.67758808
845.0	450.58355
855.0	437.416819335
865.0	450.575102734
875.0	471.252144785
885.0	468.42658055
895.0	491.869345483
905.0	482.892671285
915.0	487.899637169
925.0	494.232949797
935.0	494.498902649
945.0	498.724475233
955.0	488.805842926
965.0	470.378409299
975.0	424.498685402
985.0	459.113584996
995.0	489.130205866
