rbins	entr
7.5	39.4563878024
22.5	38.4094223098
37.5	41.3708630124
52.5	45.4547360442
67.5	51.6998224922
82.5	59.6603519899
97.5	64.3217177777
112.5	70.5233568472
127.5	78.3881134171
142.5	87.7348151818
157.5	98.7880782486
172.5	119.658343526
187.5	138.010618607
202.5	152.005792211
217.5	158.347472057
232.5	171.280594163
247.5	186.637861137
262.5	199.798680954
277.5	212.756249431
292.5	223.828393648
307.5	234.655150195
322.5	242.418848583
337.5	251.408063355
352.5	259.338865288
367.5	267.311014855
382.5	276.290182441
397.5	288.195303675
412.5	292.783845422
427.5	303.190598013
442.5	315.184249401
457.5	315.858490268
472.5	313.530097975
487.5	340.755629004
502.5	348.771794014
517.5	360.453342668
532.5	375.221844236
547.5	386.459311676
562.5	384.733500773
577.5	389.675414504
592.5	409.512620354
607.5	416.768665505
622.5	408.658150307
637.5	416.457151166
652.5	440.184180404
667.5	450.878938915
682.5	474.28569033
697.5	469.322815979
712.5	482.673553146
727.5	473.14648176
742.5	508.350287024
757.5	451.287308927
772.5	502.949283918
787.5	529.290382003
802.5	576.581724967
817.5	568.7263541
832.5	612.227177955
847.5	614.532190323
862.5	658.987000884
877.5	629.207291315
892.5	628.289994053
907.5	645.948351486
922.5	663.246737244
937.5	683.387887577
952.5	677.725815423
967.5	680.289567785
982.5	717.924793593
997.5	716.883707559
1012.5	729.532693319
1027.5	825.575521577
1042.5	755.521191058
1057.5	728.999434594
1072.5	706.530265508
1087.5	751.673619835
1102.5	790.202388204
1117.5	787.847677935
1132.5	814.289046196
1147.5	840.752300118
1162.5	871.736656581
1177.5	886.967889884
1192.5	907.915256092
1207.5	930.286376112
1222.5	920.712344223
1237.5	917.698427678
1252.5	977.792707274
1267.5	1051.78784353
1282.5	1112.90454431
1297.5	1106.93134628
1312.5	1137.14039952
1327.5	1178.58104837
1342.5	1228.6260336
1357.5	1295.85462026
1372.5	1298.25411916
1387.5	1367.19632741
1402.5	1358.22848812
1417.5	1393.98792837
1432.5	1353.04738963
1447.5	1429.76625952
1462.5	1463.42541932
1477.5	1658.76873432
1492.5	1501.16610882
