rbins	hotdensity
5.0	0.033043191121
15.0	0.016115138926
25.0	0.00843927098152
35.0	0.0053951548239
45.0	0.00370582872409
55.0	0.00271432477305
65.0	0.00219488581128
75.0	0.00166338585327
85.0	0.00134122607372
95.0	0.00112830858636
105.0	0.000894821648985
115.0	0.000721397180375
125.0	0.000569218317394
135.0	0.000466323216614
145.0	0.000386588795034
155.0	0.000323669743417
165.0	0.00027005759093
175.0	0.000222642623253
185.0	0.000174074246994
195.0	0.000132291487542
205.0	0.000100993603525
215.0	7.4938094998e-05
225.0	5.76783087163e-05
235.0	4.68571036738e-05
245.0	3.65521170835e-05
255.0	2.83394771107e-05
265.0	2.22631953593e-05
275.0	1.69997090441e-05
285.0	1.25756990661e-05
295.0	9.77611472324e-06
305.0	7.70527816727e-06
315.0	6.14344160185e-06
325.0	4.82570850434e-06
335.0	3.48190806546e-06
345.0	2.55823749733e-06
355.0	1.95927094113e-06
365.0	1.57134642693e-06
375.0	1.39096148741e-06
385.0	1.19302095951e-06
395.0	9.23768418269e-07
405.0	6.86220142565e-07
415.0	5.80169756562e-07
425.0	4.60623158993e-07
435.0	3.68948199999e-07
445.0	3.16962644375e-07
455.0	2.97531435458e-07
465.0	2.72288579019e-07
475.0	2.37463204687e-07
485.0	2.27639895627e-07
495.0	2.4828798789e-07
505.0	2.26799604565e-07
515.0	2.08129633654e-07
525.0	2.06367359429e-07
535.0	2.00661324509e-07
545.0	1.85047542043e-07
555.0	1.8568784722e-07
565.0	1.94226241281e-07
575.0	1.80045049964e-07
585.0	1.83205385754e-07
595.0	1.93896461533e-07
605.0	2.54262072829e-07
615.0	2.44824758892e-07
625.0	2.12705612336e-07
635.0	2.01117920424e-07
645.0	2.05177088005e-07
655.0	2.11420475656e-07
665.0	2.25041073936e-07
675.0	2.20516301174e-07
685.0	2.20480814344e-07
695.0	2.2558207675e-07
705.0	2.32123746511e-07
715.0	2.44956505611e-07
725.0	2.45016892607e-07
735.0	2.45974053156e-07
745.0	2.73334639226e-07
755.0	2.71052050951e-07
765.0	2.60963265736e-07
775.0	2.38568996051e-07
785.0	2.45028722922e-07
795.0	2.40045594501e-07
805.0	2.17861403831e-07
815.0	2.12838056989e-07
825.0	1.9879152427e-07
835.0	1.92877720423e-07
845.0	1.778296254e-07
855.0	1.64396559017e-07
865.0	1.54245475762e-07
875.0	1.37171134978e-07
885.0	1.15034105974e-07
895.0	1.00601386881e-07
905.0	8.59841486583e-08
915.0	8.05829566458e-08
925.0	7.55060194579e-08
935.0	6.73737692991e-08
945.0	6.29231542173e-08
955.0	5.91557339572e-08
965.0	5.74670988461e-08
975.0	5.25509970913e-08
985.0	4.96059190307e-08
995.0	4.72199631684e-08
