rbins	hotentr
5.0	6.57196706724
15.0	7.33848256136
25.0	9.80584976618
35.0	14.421464379
45.0	18.7513295253
55.0	20.4969296207
65.0	25.422780937
75.0	29.1192560397
85.0	33.3039439874
95.0	39.0715511003
105.0	44.7881642192
115.0	50.3368624432
125.0	59.3743161601
135.0	62.110002935
145.0	68.4592184237
155.0	75.4615920827
165.0	77.1455345853
175.0	81.9960453129
185.0	85.8460447848
195.0	96.6625517511
205.0	96.2430361524
215.0	104.139959571
225.0	111.096360115
235.0	123.236017462
245.0	141.128692801
255.0	171.381957759
265.0	178.874871531
275.0	203.60241996
285.0	212.408736128
295.0	244.415148164
305.0	298.466149515
315.0	306.448696172
325.0	353.931416918
335.0	393.567023314
345.0	415.300687317
355.0	511.686409424
365.0	497.365435583
375.0	554.443675108
385.0	623.296561294
395.0	697.588843232
405.0	771.147700891
415.0	857.81026796
425.0	909.08335119
435.0	968.354706008
445.0	1028.87667416
455.0	1072.1514075
465.0	1104.93469975
475.0	1149.12279257
485.0	1199.86712625
495.0	1226.40026479
505.0	1266.49391276
515.0	1311.81035892
525.0	1409.76677416
535.0	1438.91638231
545.0	1508.44714421
555.0	1598.77680922
565.0	1695.27099234
575.0	1801.60978674
585.0	1900.14244487
595.0	2016.36504894
605.0	2152.68006066
615.0	2296.4398261
625.0	2467.2645794
635.0	2677.39298017
645.0	2910.9626524
655.0	3139.02091158
665.0	3345.19389693
675.0	3630.00396949
685.0	3790.96564836
695.0	4045.89452078
705.0	4348.14593167
715.0	4548.0531162
725.0	5035.36324296
735.0	5384.95840417
745.0	6055.53940074
755.0	6838.6114304
765.0	7537.02468104
775.0	8642.1161126
785.0	8546.32324442
795.0	9237.70577808
805.0	10292.3327588
815.0	11365.9500402
825.0	11302.8142401
835.0	12422.2277418
845.0	12676.8749725
855.0	13341.6984657
865.0	13717.3749621
875.0	13730.3614876
885.0	15251.4829362
895.0	13581.7802736
905.0	14123.1371387
915.0	14549.0772826
925.0	16235.4715501
935.0	16930.7706169
945.0	17364.0509508
955.0	17569.4015132
965.0	22040.1262444
975.0	20422.6628985
985.0	27180.1754188
995.0	22061.6725067
