rbins	hotentr
2.5	43.1775444888
7.5	38.8545474687
12.5	38.6397471353
17.5	38.4685552018
22.5	38.3043853616
27.5	38.4103654534
32.5	40.2426697349
37.5	41.1912719148
42.5	42.561251839
47.5	43.8573983769
52.5	45.3939067686
57.5	46.8794643519
62.5	48.6631170429
67.5	51.6367320906
72.5	54.5919321457
77.5	57.4866867555
82.5	59.8357929963
87.5	61.5604955195
92.5	62.3569362454
97.5	64.3237474092
102.5	66.2893615578
107.5	68.4141162357
112.5	70.4402858641
117.5	72.7732314952
122.5	76.0153654638
127.5	78.3024967563
132.5	80.9168095192
137.5	84.0916882273
142.5	88.2374479177
147.5	91.08947416
152.5	94.087653791
157.5	98.2215853142
162.5	104.303452719
167.5	111.746980872
172.5	120.225483552
177.5	127.568890555
182.5	132.780403969
187.5	138.341531644
192.5	143.278866398
197.5	147.321071861
202.5	152.116597666
207.5	156.731667092
212.5	160.007218758
217.5	159.409167422
222.5	160.877118201
227.5	168.002991809
232.5	171.676187306
237.5	177.39522021
242.5	183.218938298
247.5	187.661720214
252.5	189.561083074
257.5	193.599963635
262.5	204.255733324
267.5	203.895298104
272.5	207.989787259
277.5	211.609764725
282.5	219.256261848
287.5	219.591930195
292.5	222.942866647
297.5	229.691891116
302.5	231.541025138
307.5	235.004578508
312.5	237.656694736
317.5	240.551336706
322.5	241.332173026
327.5	245.712559441
332.5	252.397872731
337.5	250.524690864
342.5	251.933776932
347.5	256.412872699
352.5	259.72104656
357.5	262.309851324
362.5	267.262990995
367.5	267.038380102
372.5	268.672131445
377.5	276.015692755
382.5	281.736273768
387.5	278.738967055
392.5	284.181078691
397.5	290.233103469
402.5	290.901404171
407.5	290.220332039
412.5	295.075365251
417.5	295.383389644
422.5	300.424135944
427.5	309.205060044
432.5	305.730429744
437.5	320.5480164
442.5	310.159395273
447.5	321.128990422
452.5	315.227704348
457.5	321.557755578
462.5	321.172148874
467.5	326.875046866
472.5	324.080700754
477.5	328.000398284
482.5	342.567997418
487.5	346.672622637
492.5	338.152242092
497.5	343.521497538
502.5	348.009076833
507.5	360.943176268
512.5	370.21284348
517.5	358.535528854
522.5	357.878626115
527.5	390.853924027
532.5	370.497917047
537.5	369.18322128
542.5	393.21559104
547.5	378.518650994
552.5	394.826870583
557.5	383.154683691
562.5	387.622196818
567.5	396.700234301
572.5	399.584358541
577.5	404.799139043
582.5	405.252937513
587.5	422.737659506
592.5	416.451433569
597.5	420.660345028
602.5	425.365987266
607.5	439.636362237
612.5	435.240092013
617.5	440.134546559
622.5	436.764986055
627.5	444.404641603
632.5	443.606500195
637.5	460.645282655
642.5	455.238500457
647.5	463.364207172
652.5	464.123806255
657.5	482.81690971
662.5	487.916932361
667.5	495.295604863
672.5	484.099002691
677.5	496.522752734
682.5	501.869050632
687.5	512.132931313
692.5	506.926094821
697.5	541.356232991
702.5	541.094184705
707.5	510.638014015
712.5	515.107006893
717.5	542.10163284
722.5	519.280794695
727.5	518.641281826
732.5	524.832489353
737.5	624.782645999
742.5	535.420047424
747.5	549.225848642
752.5	540.292273899
757.5	544.266355556
762.5	558.511898295
767.5	550.319012774
772.5	579.852240625
777.5	556.78437979
782.5	572.761936247
787.5	567.796283153
792.5	569.310055055
797.5	664.958641471
802.5	583.77466264
807.5	591.234910622
812.5	612.277557383
817.5	594.99644988
822.5	604.454389527
827.5	606.975552969
832.5	722.468162477
837.5	619.041277697
842.5	630.386624635
847.5	633.146464637
852.5	692.337698872
857.5	648.364580233
862.5	791.076225137
867.5	634.499135834
872.5	644.329298018
877.5	649.311339764
882.5	679.564280702
887.5	650.947310517
892.5	653.115999197
897.5	657.633557821
902.5	670.796949057
907.5	675.763076391
912.5	666.234866557
917.5	694.740671812
922.5	689.98056737
927.5	708.736688977
932.5	685.373965167
937.5	714.585448996
942.5	730.075637202
947.5	696.482787736
952.5	729.806892962
957.5	704.455060591
962.5	724.158922715
967.5	734.371219719
972.5	724.794709323
977.5	720.166962006
982.5	799.850215307
987.5	754.542914985
992.5	738.146704224
997.5	746.60516204
