rbins pressure
5.0 0.0391320569495
15.0 0.0155731225869
25.0 0.00692735842179
35.0 0.00381733540274
45.0 0.0026594218263
55.0 0.00190765961819
65.0 0.00144657150181
75.0 0.0010814129204
85.0 0.000827614262848
95.0 0.000670411819688
105.0 0.000548089722266
115.0 0.000420084812341
125.0 0.000338906449204
135.0 0.000259476808094
145.0 0.000221903133158
155.0 0.000193211459662
165.0 0.000157814035443
175.0 0.000138869134362
185.0 0.000125466174154
195.0 0.00012356308811
205.0 0.000109244915456
215.0 0.0001044321604
225.0 9.56127061172e-05
235.0 8.59939759523e-05
245.0 7.5471725699e-05
255.0 6.78598984989e-05
265.0 5.46629736367e-05
275.0 4.89075745272e-05
285.0 4.23715476509e-05
295.0 3.92058831347e-05
305.0 3.62116538646e-05
315.0 3.03627691266e-05
325.0 2.72932349848e-05
335.0 2.46421294286e-05
345.0 2.20431326917e-05
355.0 2.13283494234e-05
365.0 1.85631101563e-05
375.0 1.69904572601e-05
385.0 1.56124306433e-05
395.0 1.45196371593e-05
405.0 1.3585888481e-05
415.0 1.28391890524e-05
425.0 1.21231960536e-05
435.0 1.157225389e-05
445.0 1.10934035867e-05
455.0 1.06982919621e-05
465.0 1.0256367806e-05
475.0 9.90657546369e-06
485.0 9.48756258773e-06
495.0 9.02759607001e-06
505.0 8.56542681628e-06
515.0 8.11502007639e-06
525.0 7.71307281171e-06
535.0 7.20481920422e-06
545.0 6.717417697e-06
555.0 6.29915718691e-06
565.0 5.87101096583e-06
575.0 5.48303161509e-06
585.0 5.13656724817e-06
595.0 4.84773197147e-06
605.0 4.57257076605e-06
615.0 4.30302985193e-06
625.0 4.06460101884e-06
635.0 3.83788182512e-06
645.0 3.62567611207e-06
655.0 3.43105050915e-06
665.0 3.23794408245e-06
675.0 3.08740814752e-06
685.0 2.92321335124e-06
695.0 2.78603388364e-06
705.0 2.66016842341e-06
715.0 2.51663034544e-06
725.0 2.3821547079e-06
735.0 2.26693828617e-06
745.0 2.16074991249e-06
755.0 2.02825795043e-06
765.0 1.92958755731e-06
775.0 1.84839784257e-06
785.0 1.75554640827e-06
795.0 1.69011129851e-06
805.0 1.61637464341e-06
815.0 1.53779027327e-06
825.0 1.46317951121e-06
835.0 1.3956990367e-06
845.0 1.32207458472e-06
855.0 1.27106750648e-06
865.0 1.2138836968e-06
875.0 1.16499860769e-06
885.0 1.12921200455e-06
895.0 1.07846959859e-06
905.0 1.03045703702e-06
915.0 9.87171257932e-07
925.0 9.53220701637e-07
935.0 9.1843150139e-07
945.0 8.80332350559e-07
955.0 8.40403005851e-07
965.0 8.18311491441e-07
975.0 7.74422453152e-07
985.0 7.5623711998e-07
995.0 7.15033357308e-07
