rbins pressure
7.5 0.0717457270593
22.5 0.0358654050278
37.5 0.0231167181004
52.5 0.0165094059009
67.5 0.0122464518597
82.5 0.00936634218455
97.5 0.00721111375811
112.5 0.0057365326997
127.5 0.00472903781371
142.5 0.00393558525759
157.5 0.00334353812701
172.5 0.00290057293295
187.5 0.00243024492622
202.5 0.0018285429493
217.5 0.00135793210055
232.5 0.00110318371909
247.5 0.000943823236433
262.5 0.000816941204518
277.5 0.000715909800416
292.5 0.000635711333929
307.5 0.000569879767228
322.5 0.000510039339233
337.5 0.000462515481683
352.5 0.000415492517557
367.5 0.000377171773676
382.5 0.000346372033494
397.5 0.000315911311894
412.5 0.000284011911858
427.5 0.000261474064983
442.5 0.00024229554384
457.5 0.00021609488606
472.5 0.000195440658506
487.5 0.000179952490503
502.5 0.000162391748349
517.5 0.00014840393112
532.5 0.000137081967615
547.5 0.000125524041148
562.5 0.000111387019937
577.5 0.000102931180861
592.5 9.6235055044e-05
607.5 8.92671755218e-05
622.5 8.2295825513e-05
637.5 7.70022284652e-05
652.5 7.07896478521e-05
667.5 6.62932090444e-05
682.5 6.14405508728e-05
697.5 5.80247525879e-05
712.5 5.20766268268e-05
727.5 4.80465342449e-05
742.5 4.79969318228e-05
757.5 4.25427666597e-05
772.5 3.9967044777e-05
787.5 3.71556910227e-05
802.5 3.68016085184e-05
817.5 3.35626303333e-05
832.5 3.34452037826e-05
847.5 3.12490303251e-05
862.5 3.10705949032e-05
877.5 2.78369454803e-05
892.5 2.62748609446e-05
907.5 2.55814908122e-05
922.5 2.52935584272e-05
937.5 2.42686755077e-05
952.5 2.29443986171e-05
967.5 2.2324167936e-05
982.5 2.20429233638e-05
997.5 2.07445267256e-05
1012.5 2.01269110581e-05
1027.5 2.15554410321e-05
1042.5 1.86714459951e-05
1057.5 1.79599343799e-05
1072.5 1.72757386462e-05
1087.5 1.63393538463e-05
1102.5 1.60522955358e-05
1117.5 1.53214557137e-05
1132.5 1.48526963963e-05
1147.5 1.41902047959e-05
1162.5 1.38251738629e-05
1177.5 1.3339139959e-05
1192.5 1.29195014709e-05
1207.5 1.26195458615e-05
1222.5 1.22439236735e-05
1237.5 1.17481011481e-05
1252.5 1.13267871357e-05
1267.5 1.12392703595e-05
1282.5 1.11226592115e-05
1297.5 1.04285959798e-05
1312.5 1.01042792339e-05
1327.5 9.8267832769e-06
1342.5 9.62962882041e-06
1357.5 9.56897241122e-06
1372.5 9.05739325926e-06
1387.5 9.03100311486e-06
1402.5 8.47823822566e-06
1417.5 8.28528827319e-06
1432.5 7.90303569601e-06
1447.5 7.76645472947e-06
1462.5 7.32065452315e-06
1477.5 7.7813837639e-06
1492.5 6.56127654992e-06
