#id Centerx Centery Centerz
0 2546.87015086 -97.94119966 -2971.89876526
1 7446.77409341 8478.34274136 7965.37176224
2 5888.75971837 -3920.96266194 9269.17046428
3 5338.61369565 -9639.36522959 7312.57573399
4 11731.9345445 10293.5932625 10325.8766208
5 1976.53267675 -6942.48677104 4635.93825501
6 5640.01723469 2342.45491492 7368.6622007
7 5828.19954442 -3120.14017812 -10567.1413264
8 -10635.5816116 5131.33777418 9199.67368327
9 -8578.83319222 -3627.52566129 9664.09294536
10 -2095.1883795 -1306.73367651 7218.52110173
11 -722.577453689 2892.13192061 8519.56159219
12 8768.16781653 -9320.51141155 -11448.2069072
13 11183.5369132 12331.6250895 10891.0983863
14 4814.90682295 -575.290643241 7573.00262954
15 -9889.53637526 -5152.59281845 7922.71570886
16 -12135.8573308 6211.43545867 -11998.1087464
17 5702.41844661 -11234.5449885 7558.397948
18 -3318.54411054 -5658.33897929 9977.81529947
19 -8095.2547557 1194.19450535 9593.20886745
20 6507.35656596 -11424.4344879 3950.67964353
21 -7693.13146382 -2126.2980611 -7107.66001811
22 -557.911742733 -5171.37649734 9244.49288105
23 8345.12403605 -9254.17095205 -9018.58064912
24 -9622.01055839 -4929.34168207 7235.42366967
25 -9517.35150083 -6405.6985668 12558.5764069
26 -6337.47507778 1485.67319301 -324.055154369
27 9908.99229401 -10730.675697 11864.5252731
28 -5547.28292381 866.887307693 1515.74409108
29 4290.36737507 -2358.85928955 8278.50926948
30 -4236.85606727 -2316.28588991 8412.80777678
31 -1177.78407875 -5247.91859345 9426.76284482
