#id M500 T500 fgas Mgas
NGC1550 3.18e13 1.06 0.097 3.0846e+12
MKW4 4.85e13 1.58 0.086 4.171e+12
3C442A 3.9e13 1.34 0.068 2.652e+12
UGC5088 1.48e13 0.81 0.049 725200000000.0
NGC4104 4.85e13 1.41 0.069 3.3465e+12
A1177 5.28e13 1.37 0.06 3.168e+12
NGC6269 8.49e13 1.72 0.076 6.4524e+12
ESO306017 1.03e14 2.37 0.081 8.343e+12
NGC5098 2e13 0.96 0.108 2.16e+12
A160 7.9e13 1.68 0.085 6.715e+12
UGC842 5.6e13 1.54 0.056 3.136e+12
A2717 1.29e14 2.43 0.076 9.804e+12
RXJ10223830 8e13 1.94 0.075 6e+12
AS1101 1.41e14 2.57 0.114 1.6074e+13
ESO351021 3.22e13 1.14 0.074 2.3828e+12
A3880 1.49e14 2.49 0.088 1.3112e+13
A1991 1.34e14 2.68 0.094 1.2596e+13
A1275 6.9e13 1.46 0.094 6.486e+12
A2092 8.95e13 1.67 0.078 6.981e+12
A2462 8.8e13 2.32 0.099 8.712e+12
RXJ1159 8.3e13 1.84 0.065 5.395e+12
A1629 9.7e13 2.61 0.09 8.73e+12
A2550 7.9e13 1.95 0.093 7.347e+12
