rbins dm star gas
2.5 127668856062.0 370665407910.0 533122828.665
7.5 315058493245.0 576375912394.0 3210616468.57
12.5 524980621204.0 685924994740.0 9056374244.52
17.5 762379957453.0 756220066594.0 18709326989.2
22.5 1.02978531659e+12 816973457229.0 32792922126.5
27.5 1.33030295638e+12 865362774991.0 51556278245.6
32.5 1.65589987377e+12 904656900126.0 74924523678.8
37.5 1.99990885746e+12 929544227004.0 103219498007.0
42.5 2.37498143092e+12 949028492894.0 136325791456.0
47.5 2.78806150426e+12 967027893250.0 174247881929.0
52.5 3.23715667679e+12 983954057970.0 216739896468.0
57.5 3.71944041774e+12 999624839373.0 263805258027.0
62.5 4.22940717974e+12 1.01469279194e+12 314947719316.0
67.5 4.76414635729e+12 1.02919372833e+12 369332645306.0
72.5 5.32099250327e+12 1.04342404799e+12 426431153902.0
77.5 5.89567361014e+12 1.05733640059e+12 486597974249.0
82.5 6.48650752349e+12 1.07067158797e+12 549778812439.0
87.5 7.09261334186e+12 1.08388030138e+12 615979084757.0
92.5 7.7107874893e+12 1.09726583394e+12 685562745622.0
97.5 8.34544135238e+12 1.11484111494e+12 757631546376.0
102.5 8.985788709e+12 1.13115520042e+12 832120344787.0
107.5 9.62940992773e+12 1.15532515428e+12 908898575305.0
112.5 1.02727159666e+13 1.17157544098e+12 988010503537.0
117.5 1.09161660755e+13 1.18488789231e+12 1.06937991177e+12
122.5 1.15622097478e+13 1.19886008407e+12 1.15260605061e+12
127.5 1.22197053059e+13 1.23893761208e+12 1.23745418369e+12
132.5 1.28928481124e+13 1.32420369247e+12 1.32401626674e+12
137.5 1.3550785814e+13 1.3528823161e+12 1.41181161239e+12
142.5 1.4201927104e+13 1.37526803734e+12 1.50051586844e+12
147.5 1.48663773953e+13 1.41694740092e+12 1.59022287799e+12
152.5 1.55457327159e+13 1.49931691619e+12 1.6813338423e+12
157.5 1.62558315339e+13 1.69774306786e+12 1.77329554777e+12
162.5 1.69342774501e+13 1.78766313094e+12 1.86480747394e+12
167.5 1.75868197982e+13 1.82628848511e+12 1.95524337443e+12
