rbins	hotdensity
5.0	0.0260232643748
15.0	0.010458106119
25.0	0.005091125411
35.0	0.00250974439215
45.0	0.00150460013654
55.0	0.00107280541085
65.0	0.000864891990983
75.0	0.000555070382714
85.0	0.000421915014322
95.0	0.000391149389442
105.0	0.000303898259937
115.0	0.000202658367905
125.0	0.000101063103582
135.0	4.98604742982e-05
145.0	3.70639386372e-05
155.0	2.35130119238e-05
165.0	1.11335502484e-05
175.0	8.45276710334e-06
185.0	8.19844911466e-06
195.0	9.91756710194e-06
205.0	1.15660198372e-05
215.0	1.29418631573e-05
225.0	1.42065994492e-05
235.0	1.44191752871e-05
245.0	1.30294478641e-05
255.0	1.01227816899e-05
265.0	6.85011697089e-06
275.0	4.15184208929e-06
285.0	3.05858116362e-06
295.0	2.99020652288e-06
305.0	2.74397512836e-06
315.0	2.37650366356e-06
325.0	1.98996066802e-06
335.0	1.47300683732e-06
345.0	1.00287915029e-06
355.0	7.32767333477e-07
365.0	5.39891965391e-07
375.0	3.97759984703e-07
385.0	2.89047793752e-07
395.0	2.6132659167e-07
405.0	2.38796937323e-07
415.0	1.94046785108e-07
425.0	1.86607018116e-07
435.0	1.96787147338e-07
445.0	2.32242033787e-07
455.0	2.57275513867e-07
465.0	2.88149427277e-07
475.0	3.20923964667e-07
485.0	3.56714996535e-07
495.0	3.60745058916e-07
505.0	3.44438219454e-07
515.0	3.07308314781e-07
525.0	2.71570242376e-07
535.0	2.3773081518e-07
545.0	2.07414882017e-07
555.0	1.71823975926e-07
565.0	1.38386794044e-07
575.0	1.08522084613e-07
585.0	9.44883037305e-08
595.0	8.76558238701e-08
605.0	7.84339533933e-08
615.0	6.94045544198e-08
625.0	6.27063697723e-08
635.0	5.13858653317e-08
645.0	4.5931148036e-08
655.0	4.36370441764e-08
665.0	3.52247320082e-08
675.0	3.23337195402e-08
685.0	2.35974642095e-08
695.0	2.44087155569e-08
705.0	3.22247724848e-08
715.0	2.84743174531e-08
725.0	3.08340172208e-08
735.0	2.72276752826e-08
745.0	3.31487143612e-08
755.0	3.04505410401e-08
765.0	3.48379170842e-08
775.0	3.51961177644e-08
785.0	2.97363937971e-08
795.0	3.46437979816e-08
805.0	3.5569408116e-08
815.0	3.16944173907e-08
825.0	2.69767018714e-08
835.0	2.65026895509e-08
845.0	2.51447723783e-08
855.0	2.86842828011e-08
865.0	2.42716278109e-08
875.0	2.21052126493e-08
885.0	2.26192294752e-08
895.0	2.8344177232e-08
905.0	2.09530232349e-08
915.0	1.6962677299e-08
925.0	1.95438565324e-08
935.0	1.80408042235e-08
945.0	1.90005873544e-08
955.0	1.96594643211e-08
965.0	1.88538963196e-08
975.0	2.11183477148e-08
985.0	1.65827997119e-08
995.0	1.73693221989e-08
