rbins	hotentr
5.0	11.7224189361
15.0	16.83083865
25.0	23.6791694401
35.0	39.9323951674
45.0	60.9908266727
55.0	66.3242082049
65.0	77.5664379811
75.0	101.838882816
85.0	114.113257417
95.0	117.443063968
105.0	145.747899459
115.0	187.663474228
125.0	382.608263512
135.0	520.339788541
145.0	662.86593828
155.0	1195.85994737
165.0	1476.63385465
175.0	2015.97161141
185.0	1717.10352168
195.0	3051.44088124
205.0	1394.54783135
215.0	1579.69225744
225.0	1331.34282715
235.0	1326.17171504
245.0	1559.88370688
255.0	2649.66114539
265.0	2547.13684241
275.0	5069.89461728
285.0	4444.62409409
295.0	5587.56911335
305.0	7693.23248195
315.0	3964.32993701
325.0	5029.09014728
335.0	6708.80223282
345.0	6554.49548658
355.0	27321.0710795
365.0	10976.2018204
375.0	12717.5179701
385.0	14112.9308259
395.0	15942.4039344
405.0	17758.3101862
415.0	29263.10244
425.0	20643.2957496
435.0	20141.7570352
445.0	18921.1125861
455.0	18628.070587
465.0	14983.3560127
475.0	14630.702342
485.0	14817.5733269
495.0	13913.6961554
505.0	14200.3689848
515.0	16107.2515493
525.0	20686.328071
535.0	19198.9674128
545.0	19119.8428241
555.0	21274.6938667
565.0	25822.3687194
575.0	31543.6884723
585.0	33041.7081432
595.0	41664.6278143
605.0	48975.7232021
615.0	45413.6658536
625.0	48901.5151484
635.0	55376.506732
645.0	59028.3159832
655.0	60224.2054256
665.0	68020.1643252
675.0	94283.4382705
685.0	97055.3444497
695.0	119899.499918
705.0	101633.568971
715.0	98734.4062783
725.0	99069.0965286
735.0	106773.365328
745.0	93495.5995873
755.0	112490.523044
765.0	109205.755679
775.0	133204.194221
785.0	118783.954231
795.0	100497.820667
805.0	106530.247423
815.0	125688.249232
825.0	131017.523298
835.0	133925.860883
845.0	125391.539521
855.0	124755.362717
865.0	136509.877827
875.0	143398.66334
885.0	204480.401388
895.0	100682.67933
905.0	135378.469471
915.0	154434.547807
925.0	162471.413706
935.0	181174.308145
945.0	152196.207458
955.0	140455.782055
965.0	221886.437259
975.0	143315.860066
985.0	305055.0987
995.0	169414.191584
