rbins	hotentr
2.5	43.1775444888
7.5	38.8545474687
12.5	38.6397471353
17.5	38.4689694445
22.5	38.3043853616
27.5	38.4109993222
32.5	40.2520724588
37.5	41.192700094
42.5	42.5688712121
47.5	43.8628720995
52.5	45.4050365771
57.5	46.8881260804
62.5	48.6649135197
67.5	51.6433351049
72.5	54.5991858512
77.5	57.4881369787
82.5	59.8406881269
87.5	61.568796035
92.5	62.3589601711
97.5	64.3279811503
102.5	66.3040732928
107.5	68.42084588
112.5	70.4418577973
117.5	72.7758152334
122.5	76.0196131043
127.5	78.3056257443
132.5	80.9290572945
137.5	84.1064011409
142.5	88.2662975118
147.5	91.1059353648
152.5	94.1111992781
157.5	98.2352615236
162.5	104.327372507
167.5	111.767261647
172.5	120.253669838
177.5	127.605811896
182.5	132.83020488
187.5	138.423469065
192.5	143.402311501
197.5	147.479095359
202.5	152.342562016
207.5	157.056742423
212.5	160.742694119
217.5	162.809031731
222.5	165.58919792
227.5	171.308417158
232.5	173.948536008
237.5	179.406410153
242.5	185.151340701
247.5	189.55319381
252.5	191.438108803
257.5	195.218984145
262.5	205.81886525
267.5	205.291533326
272.5	209.296060246
277.5	212.773353087
282.5	220.401765874
287.5	220.68509122
292.5	223.968260619
297.5	230.706162811
302.5	232.549320113
307.5	236.082032463
312.5	238.915374412
317.5	241.839076631
322.5	242.688396258
327.5	247.177739082
332.5	254.177509966
337.5	252.375468306
342.5	253.959576209
347.5	258.690273228
352.5	262.352281339
357.5	265.310599853
362.5	270.889641227
367.5	270.403331977
372.5	272.14211169
377.5	279.748002466
382.5	285.36315757
387.5	282.233534273
392.5	287.780043735
397.5	293.847097183
402.5	294.578801261
407.5	294.019747148
412.5	298.966046444
417.5	299.437447853
422.5	304.662350551
427.5	313.439375983
432.5	309.837364153
437.5	324.917305829
442.5	314.258929889
447.5	325.432775668
452.5	319.603639589
457.5	325.753191629
462.5	325.294845015
467.5	330.84689119
472.5	327.889690772
477.5	331.863742628
482.5	346.942211839
487.5	351.498798747
492.5	343.443000837
497.5	349.607076408
502.5	354.86849035
507.5	368.691686877
512.5	378.145071217
517.5	366.180319848
522.5	365.816225727
527.5	400.173800108
532.5	379.195661732
537.5	378.398900493
542.5	403.619624505
547.5	388.02647358
552.5	405.536161224
557.5	394.338195404
562.5	399.703946845
567.5	409.45073392
572.5	413.716483761
577.5	420.41648275
582.5	422.543697826
587.5	442.2042327
592.5	437.264689592
597.5	442.704764125
602.5	448.10129203
607.5	464.362541834
612.5	459.578383011
617.5	464.15784762
622.5	461.03645382
627.5	473.665560137
632.5	477.427275786
637.5	490.974464692
642.5	482.444131677
647.5	491.24381429
652.5	493.129269367
657.5	514.043114523
662.5	520.582091888
667.5	529.81497092
672.5	518.977020231
677.5	534.193827484
682.5	541.022292193
687.5	553.936498643
692.5	548.762654884
697.5	588.399754244
702.5	588.921900098
707.5	555.301329649
712.5	561.963038422
717.5	593.446445231
722.5	569.413519555
727.5	571.477118653
732.5	576.879121946
737.5	689.862547898
742.5	588.31333052
747.5	607.21078165
752.5	598.584995576
757.5	604.497892387
762.5	622.869265596
767.5	615.277851401
772.5	651.203641751
777.5	625.525831357
782.5	645.448467423
787.5	639.910694352
792.5	643.042688172
797.5	760.61886996
802.5	663.606753258
807.5	674.119044073
812.5	704.280028864
817.5	686.199616221
822.5	701.266967377
827.5	705.633375921
832.5	853.803297779
837.5	724.752547647
842.5	742.74379307
847.5	747.833350345
852.5	825.586382644
857.5	770.693301564
862.5	957.606185944
867.5	755.230163703
872.5	769.867005452
877.5	777.870879775
882.5	821.049820989
887.5	784.417471513
892.5	791.515601845
897.5	800.13946537
902.5	819.271706112
907.5	826.327526649
912.5	815.985167348
917.5	859.282912771
922.5	857.147346785
927.5	884.637676143
932.5	852.439494972
937.5	889.64018118
942.5	910.508943754
947.5	863.778041849
952.5	912.511129536
957.5	878.680936796
962.5	909.039601791
967.5	924.588369032
972.5	911.610912178
977.5	905.983452628
982.5	1020.28977849
987.5	957.011226878
992.5	935.402797027
997.5	950.129774538
