rbins	hotdensity
5.0	0.0421931792906
15.0	0.0163045378814
25.0	0.00844747984496
35.0	0.00539903664993
45.0	0.00371329312499
55.0	0.00274140927578
65.0	0.00227292043263
75.0	0.00182121976446
85.0	0.00147417735288
95.0	0.00121385221849
105.0	0.00101527938032
115.0	0.000840875431633
125.0	0.000693843364879
135.0	0.000580905960281
145.0	0.000492796085339
155.0	0.000423289775918
165.0	0.000364759106759
175.0	0.000314276267889
185.0	0.000273061003657
195.0	0.000240516484093
205.0	0.000213247617058
215.0	0.000191189688799
225.0	0.000172054178351
235.0	0.000156498942954
245.0	0.000143339773898
255.0	0.000131428520809
265.0	0.000120236056229
275.0	0.000110700617241
285.0	0.000102270531718
295.0	9.44236889021e-05
305.0	8.7400549823e-05
315.0	8.07397937562e-05
325.0	7.42852790584e-05
335.0	6.79776098575e-05
345.0	6.24749574874e-05
355.0	5.77582778274e-05
365.0	5.36164118062e-05
375.0	4.96862411894e-05
385.0	4.6168297796e-05
395.0	4.28708553389e-05
405.0	3.96470617678e-05
415.0	3.69766271651e-05
425.0	3.45311182636e-05
435.0	3.24177289548e-05
445.0	3.06074366674e-05
455.0	2.8969706403e-05
465.0	2.74675145321e-05
475.0	2.5857674462e-05
485.0	2.45338959547e-05
495.0	2.3163639225e-05
505.0	2.20432264102e-05
515.0	2.09272633477e-05
525.0	1.99627435781e-05
535.0	1.89008762938e-05
545.0	1.80552407911e-05
555.0	1.72744324918e-05
565.0	1.64489023699e-05
575.0	1.57242012403e-05
585.0	1.50279725594e-05
595.0	1.4469899798e-05
605.0	1.43713145974e-05
615.0	1.35570664776e-05
625.0	1.26448320171e-05
635.0	1.20431999171e-05
645.0	1.15014693537e-05
655.0	1.10368951268e-05
665.0	1.0561211192e-05
675.0	1.01194334879e-05
685.0	9.75415020679e-06
695.0	9.39007290378e-06
705.0	9.11413055575e-06
715.0	8.8056251624e-06
725.0	8.52650214098e-06
735.0	8.18751466646e-06
745.0	7.87580012457e-06
755.0	7.47367298235e-06
765.0	7.10091440705e-06
775.0	6.72067535826e-06
785.0	6.33739414407e-06
795.0	6.02400375626e-06
805.0	5.69623764266e-06
815.0	5.43128140452e-06
825.0	5.1703302537e-06
835.0	4.93559714179e-06
845.0	4.65478764479e-06
855.0	4.41537171936e-06
865.0	4.18712311598e-06
875.0	3.88223697313e-06
885.0	3.499139848e-06
895.0	3.1465012399e-06
905.0	2.83626020938e-06
915.0	2.58550400098e-06
925.0	2.38287826439e-06
935.0	2.19513548311e-06
945.0	2.06360986046e-06
955.0	1.92599652092e-06
965.0	1.82596246967e-06
975.0	1.71722413469e-06
985.0	1.6206732031e-06
995.0	1.53776259217e-06
