rbins	hotentr
5.0	3.27184148656
15.0	5.30015258096
25.0	8.76767214368
35.0	13.194531398
45.0	18.4874245479
55.0	22.2320495587
65.0	26.3819533148
75.0	33.4674212113
85.0	36.5909941863
95.0	41.3830535562
105.0	46.8602482931
115.0	54.4261433612
125.0	55.6540372783
135.0	57.0744910941
145.0	64.6796978164
155.0	65.4732697834
165.0	70.1636008406
175.0	73.208405078
185.0	77.9543577806
195.0	83.1755511738
205.0	85.7737917981
215.0	90.5561964115
225.0	96.9869719525
235.0	103.151291403
245.0	106.234027993
255.0	110.612433796
265.0	116.747417206
275.0	119.69239713
285.0	121.396577715
295.0	129.408387705
305.0	129.799944034
315.0	135.247869413
325.0	167.7554609
335.0	200.080238085
345.0	139.917563497
355.0	139.858091753
365.0	140.979076157
375.0	224.396313791
385.0	154.171707563
395.0	148.578929897
405.0	155.154869782
415.0	161.811174497
425.0	162.767245669
435.0	166.772637405
445.0	167.037455901
455.0	168.00469741
465.0	176.768717899
475.0	178.756606643
485.0	194.507071978
495.0	190.227125897
505.0	196.951464109
515.0	200.295517648
525.0	204.78526982
535.0	210.890306746
545.0	215.237692713
555.0	223.05671568
565.0	231.121431071
575.0	238.670781542
585.0	243.787564274
595.0	252.687040062
605.0	259.650228775
615.0	267.926345631
625.0	274.671262051
635.0	279.714458803
645.0	287.29703084
655.0	306.686164742
665.0	311.16416541
675.0	348.981878396
685.0	356.898404616
695.0	342.141130984
705.0	363.505680251
715.0	380.658324054
725.0	389.431468413
735.0	407.895475187
745.0	438.958524372
755.0	457.702988239
765.0	495.150386333
775.0	541.313803534
785.0	627.991803042
795.0	667.191742709
805.0	748.713449357
815.0	958.152026846
825.0	960.583776135
835.0	977.791896838
845.0	1059.3681106
855.0	1150.1707016
865.0	1241.25391816
875.0	1573.24434444
885.0	1454.37261277
895.0	1474.39330672
905.0	1629.0552027
915.0	1648.83840843
925.0	1705.46322985
935.0	1799.6612371
945.0	1859.42463988
955.0	1972.7839653
965.0	1911.50697834
975.0	2053.10087124
985.0	2113.64839022
995.0	2152.04183552
