rbins	hotentr
2.5	43.1775444888
7.5	38.8545474687
12.5	38.6397471353
17.5	38.4685552018
22.5	38.3024713516
27.5	38.4103654534
32.5	40.2401655113
37.5	41.1912719148
42.5	42.561066204
47.5	43.8541887522
52.5	45.3939067686
57.5	46.8787175375
62.5	48.6631170429
67.5	51.6364170886
72.5	54.5902302502
77.5	57.4866867555
82.5	59.835513045
87.5	61.5589688136
92.5	62.3560277897
97.5	64.3237474092
102.5	66.2874106349
107.5	68.4141162357
112.5	70.438659704
117.5	72.7732314952
122.5	76.0153654638
127.5	78.3024967563
132.5	80.9053301486
137.5	84.0723681052
142.5	88.2221997539
147.5	91.081433537
152.5	94.0860833714
157.5	98.2179198354
162.5	104.294692668
167.5	111.741483304
172.5	120.207791048
177.5	127.551258919
182.5	132.761617606
187.5	138.306624882
192.5	143.258818858
197.5	147.314489374
202.5	152.086778114
207.5	156.711905313
212.5	159.806910843
217.5	158.357410267
222.5	159.283979043
227.5	166.445759034
232.5	170.61055026
237.5	176.948275567
242.5	183.14814246
247.5	187.636558254
252.5	189.543692718
257.5	193.566808877
262.5	204.131338148
267.5	203.75896705
272.5	207.857533308
277.5	211.524067803
282.5	219.182440947
287.5	219.55535267
292.5	222.908728311
297.5	229.640135613
302.5	231.502426129
307.5	234.998029409
312.5	237.647569498
317.5	240.522659124
322.5	241.250963729
327.5	245.615000619
332.5	252.241576972
337.5	250.401033012
342.5	251.868964587
347.5	256.363410274
352.5	259.654393027
357.5	262.208304713
362.5	267.140292819
367.5	266.869981542
372.5	268.384033195
377.5	275.63838054
382.5	281.122635214
387.5	278.270541109
392.5	284.023407373
397.5	290.05351895
402.5	290.626384007
407.5	289.846401279
412.5	294.631118718
417.5	294.531757408
422.5	299.160564206
427.5	307.511865346
432.5	303.788416687
437.5	318.554821378
442.5	308.392458701
447.5	319.555502176
452.5	313.323523005
457.5	318.637345727
462.5	317.034154815
467.5	322.478219822
472.5	320.981544999
477.5	326.158135397
482.5	341.023656441
487.5	345.099999372
492.5	336.504992299
497.5	341.728595897
502.5	346.095902061
507.5	358.997916375
512.5	368.208311115
517.5	356.729391892
522.5	356.164634473
527.5	388.993244224
532.5	368.793331509
537.5	367.515759589
542.5	391.179598809
547.5	376.367581444
552.5	392.069944486
557.5	379.87465599
562.5	383.424401932
567.5	391.472391247
572.5	392.819886809
577.5	396.62815161
582.5	397.524640257
587.5	413.52731339
592.5	406.944014939
597.5	409.879987923
602.5	412.240624619
607.5	423.175216689
612.5	415.776087099
617.5	416.503702484
622.5	407.770251972
627.5	411.241326927
632.5	409.634347127
637.5	424.999986856
642.5	422.607494451
647.5	434.595508855
652.5	438.315462231
657.5	457.995903808
662.5	463.822021912
667.5	471.861796906
672.5	462.698780447
677.5	476.107047852
682.5	482.661301043
687.5	490.872457992
692.5	481.266625748
697.5	508.897885353
702.5	508.544069972
707.5	479.793425445
712.5	481.494268266
717.5	502.240671977
722.5	477.312993946
727.5	473.996870756
732.5	476.712652522
737.5	565.325803516
742.5	484.427874396
747.5	496.805561777
752.5	486.138128411
757.5	489.076490124
762.5	503.960103506
767.5	502.621197976
772.5	533.664190439
777.5	515.706227118
782.5	533.196063687
787.5	531.782908439
792.5	535.033828682
797.5	626.36227789
802.5	552.010595439
807.5	559.987614179
812.5	580.076846888
817.5	564.66477803
822.5	574.472083585
827.5	578.012427778
832.5	686.608680929
837.5	589.913242909
842.5	601.080321696
847.5	604.334821225
852.5	661.314143746
857.5	620.239562507
862.5	756.777290583
867.5	608.377296996
872.5	618.188228066
877.5	623.143548992
882.5	652.57429327
887.5	625.7770657
892.5	628.817084992
897.5	634.249846515
902.5	647.352698786
907.5	652.27896594
912.5	643.396931764
917.5	670.571592539
922.5	666.55152948
927.5	684.011790618
932.5	662.20490322
937.5	689.483601778
942.5	703.699133115
947.5	671.325620365
952.5	702.563026385
957.5	677.899070111
962.5	696.792051346
967.5	706.735660504
972.5	697.732961583
977.5	692.865125405
982.5	768.575774106
987.5	725.048344394
992.5	709.360190939
997.5	716.170539936
